id,level,sector,filiere,degree
01022001R,Niveau 4,Transformation,Spécialités pluri-technologiques des transformations,Agent de contrôle non destructif (MC niveau IV)
01022102S,Niveau 5,Transformation,"Agro-alimentaire, alimentation, cuisine",Boulangerie spécialisée (MC aux CAP)
01022103S,Niveau 5,Transformation,"Agro-alimentaire, alimentation, cuisine",Employé traiteur (MC niveau V)
01022104S,Niveau 5,Transformation,"Agro-alimentaire, alimentation, cuisine","Pâtisserie, glacerie, chocolaterie, confiserie spécialisée (MC aux CAP)"
01022105S,Niveau 5,Transformation,"Agro-alimentaire, alimentation, cuisine",Cuisinier en desserts de restaurant (MC niveau V)
01022106W,Niveau 5,Transformation,"Agro-alimentaire, alimentation, cuisine",Vendeur spécialisé en alimentation (MC niveau V)
01022107S,Niveau 5,Transformation,"Agro-alimentaire, alimentation, cuisine",Boulangerie spécialisée (MC niveau V)
01022108S,Niveau 5,Transformation,"Agro-alimentaire, alimentation, cuisine",Pâtisserie boulangère (MC V)
01022109T,Niveau 5,Transformation,"Agro-alimentaire, alimentation, cuisine",Art de la cuisine allégée (MC niveau V)
01022304V,Niveau 5,Transformation,"Métallurgie (y compris sidérurgie, fonderie, non ferreux ...)",Joaillerie (MC niveau V)
01022701T,Niveau 5,Transformation,"Energie, génie climatique (y compris énergie nucléaire, thermique, hydraulique, utilités : froid, climatis., chauffage)",Maintenance en équipement thermique individuel (MC aux CAP )
01022703U,Niveau 4,Transformation,"Energie, génie climatique (y compris énergie nucléaire, thermique, hydraulique, utilités : froid, climatis., chauffage)",Technicien des services à l'énergie (MC niveau IV)
01022704S,Niveau 4,Transformation,"Energie, génie climatique (y compris énergie nucléaire, thermique, hydraulique, utilités : froid, climatis., chauffage)",Technicien en énergies renouvelables option A : énergie électrique (MC niveau IV)
01022705S,Niveau 4,Transformation,"Energie, génie climatique (y compris énergie nucléaire, thermique, hydraulique, utilités : froid, climatis., chauffage)",Technicien en énergies renouvelables option B : énergie thermique (MC niveau IV)
01023202S,Niveau 5,"Génie civil, construction, bois",Bâtiment : construction et couverture,Zinguerie (MC niveau V)
01023302S,Niveau 5,"Génie civil, construction, bois",Bâtiment : finitions,Plaquiste (MC niveau V)
01023304S,Niveau 4,"Génie civil, construction, bois",Bâtiment : finitions,Peinture décoration (MC niveau IV)
01023305W,Niveau 4,"Génie civil, construction, bois",Bâtiment : finitions,Vendeur spécialisé en produits techniques pour l'habitat (MC niveau IV)
01023403S,Niveau 5,"Génie civil, construction, bois",Travail du bois et de l'ameublement,Parqueteur (MC niveau V)
01024201R,Niveau 5,Matériaux souples,Habillement (y compris mode et couture),Essayage-retouche-vente (MC niveau V)
01025002R,Niveau 4,"Mécanique, électricité, électronique",Spécialités pluri-technologiques mécanique-électricité (y compris maintenance mécanique-électricité),Technicien ascensoriste (service et modernisation) (MC niveau IV)
01025119S,Niveau 5,"Mécanique, électricité, électronique","Mécanique générale et de précision, usinage",Opérateur régleur sur machines à commande numérique (MC niveau V)
01025122S,Niveau 4,"Mécanique, électricité, électronique","Mécanique générale et de précision, usinage",Maquettes et prototypes (MC niveau IV)
01025123R,Niveau 4,"Mécanique, électricité, électronique","Mécanique générale et de précision, usinage",Maintenance des Installations Oléohydrauliques et Pneumatiques (MC Niveau IV)
01025206R,Niveau 5,"Mécanique, électricité, électronique",Moteurs et mécanique auto,Maintenance des moteurs diesel et de leurs équipements (MC niveau V)
01025207R,Niveau 5,"Mécanique, électricité, électronique",Moteurs et mécanique auto,Maintenance des moteurs diesel et de leurs équipements (MC niveau V)
01025303R,Niveau 4,"Mécanique, électricité, électronique",Mécanique aéronautique et spatiale,Aéronautique option : avionique (MC niveau IV)
01025305R,Niveau 4,"Mécanique, électricité, électronique",Mécanique aéronautique et spatiale,Aéronautique option : avions à moteurs à turbines (MC niveau IV)
01025405S,Niveau 5,"Mécanique, électricité, électronique","Structures métalliques (y compris soudure, carrosserie, coque bateau, cellule avion)",Soudage (MC niveau V)
