degree,rne,Nom court CFA,Adresse CFA,Complément adresse 1 CFA,Complément adresse 2 CFA,Code INSEE CFA,Lib court ville CFA,Téléphone établissement,Site internet de l'établissement,E-Mail établissement
01022103S,0750768C,CFA des Métiers de la Gastronomie,19 rue Goubet,,,75119,PARIS,01 42 39 19 64,www.ceproc.com,beleves@ceproc.com
01022103S,0751510J,CFA Méderic,20 rue Méderic,,,75117,PARIS,01 42 12 62 12,www.cfamederic.com,inscription@cfamederic.com
01022103S,0752280W,CFA CCIP - FERRANDI Paris,28 rue de l'Abbé Grégoire,,,75111,PARIS,01 49 54 28 17,www.ferrandi-paris.fr,cconansignor@cci-paris-idf.fr
01022103S,0754850P,CFA PAE,94 avenue Gambetta,,,75120,PARIS,01 44 62 41 48,www.cfa-pae.org,ce.cfa@ac-paris.fr
01022103S,0772742M,CFA  CCI de Seine et Marne,Boulevard Olof Palme,MARNE LA VALLEE,,77169,EMERAINVILLE,08 10 00 11 70,www.cfautec.fr,contact@cfautec.fr
01022103S,0780424M,CFA CMA du 78,17 avenue du Général Mangin,,,78646,VERSAILLES,01 39 55 15 23,www.cfa-cmy.fr,infoconseil@cfa-cmy.fr
01022103S,0783430E,CFA en Mouvement,23 rue Fernand Pelloutier,,,92024,CLICHY,01 41 40 07 95,www.cfa-academique-en-mouvement.fr,cfa.enmouvement@ac-versailles.fr
01022103S,0932217E,CFA CEFAA,Avenue Jean Fourgeaud,,,93078,VILLEPINTE,01 49 63 42 42,www.cefaa.net,contact@cefaa.net
01022103S,0942202H,CFA de l'Académie de Créteil,12 rue Georges Enesco,,,94028,CRETEIL,01 57 02 67 74,http://cfaacademique.ac-creteil.fr,cfa-academique@ac-creteil.fr
01022103S,0951286G,CFA CCIV - Adolphe CHAUVIN,22  rue des Beaux Soleils,,,95476,OSNY,01 30 75 38 38,www.ifa-chauvin.fr,ifa-chauvin@versailles.cci.fr
01022104S,0750768C,CFA des Métiers de la Gastronomie,19 rue Goubet,,,75119,PARIS,01 42 39 19 64,www.ceproc.com,beleves@ceproc.com
01022104S,0752830U,CFA des Métiers de la Table,17 rue Jacques Ibert,,,75117,PARIS,01 44 09 12 00,www.epmtth.org,h.sauvage@epmtth.org
01022104S,0772690F,CFA CMA de la Seine et Marne ,4 avenue du Général Leclerc,Château Gruber,,77288,MELUN,01 64 79 26 00,www.cma77.fr,dfp@cma77.fr
01022104S,0931618D,CFA Campus des Métiers et de l'Entreprise,91-129 rue Edouard Renard,,,93008,BOBIGNY,01 41 83 38 38,www.campus93.fr,campus@campus93.fr
01022104S,0951963T,CFA CMA 95,1 Avenue du parc,,,95500,CERGY,01 34 35 80 30,www.ima95.fr,
01022105S,0750768C,CFA des Métiers de la Gastronomie,19 rue Goubet,,,75119,PARIS,01 42 39 19 64,www.ceproc.com,beleves@ceproc.com
01022105S,0751510J,CFA Méderic,20 rue Méderic,,,75117,PARIS,01 42 12 62 12,www.cfamederic.com,inscription@cfamederic.com
01022105S,0752830U,CFA des Métiers de la Table,17 rue Jacques Ibert,,,75117,PARIS,01 44 09 12 00,www.epmtth.org,h.sauvage@epmtth.org
01022105S,0753007L,CFA Public Belliard,135 rue Belliard,,,75118,PARIS,01 40 25 93 64,lyc-belliard.ac-paris.fr ,rene.le-joncour@ac-paris.fr
