rne,lat,lng
0750738V,48.8785604,2.3841108000000304
0750739W,48.8982688,2.3616002999999637
0750761V,48.8679717,2.342650400000025
0750765Z,48.86625429999999,2.3437068000000636
0750768C,48.885514,2.3895879000000377
0751452W,48.8537103,2.3864512000000104
0751457B,48.844939,2.312497600000029
0751475W,48.8532115,2.38922070000001
0751488K,48.85671730000001,2.3607143000000406
0751489L,48.8414693,2.3429413000000068
0751497V,48.8559782,2.396003500000006
0751503B,48.8379823,2.407723400000009
0751508G,48.8384049,2.2908793000000287
0751510J,48.8809372,2.3040346999999883
0752068R,48.8945523,2.363550499999974
0752206R,48.88806229999999,2.3565197000000353
0752280W,48.8474436,2.3255254000000605
0752282Y,48.8340094,2.3552177999999913
0752314H,48.8544066,2.392401100000029
0752325V,48.8761682,2.4060435999999754
0752830U,48.8886251,2.290706499999942
0752944T,48.88006970000001,2.365752499999985
0753007L,48.8957442,2.334229499999992
0754457M,48.8411895,2.2958490999999412
0754458N,48.8247676,2.331253699999934
0754471C,48.8789211,2.3644705000000386
0754497F,48.8464111,2.3548468000000184
0754674Y,48.9013162,2.344937200000004
0754679D,48.8782881,2.328847200000041
0754718W,48.88247459999999,2.3919453999999405
0754739U,48.8397733,2.3476574999999684
0754755L,48.83367010000001,2.388782699999979
0754756M,48.886939,2.3256498000000647
0754792B,48.8555271,2.3540689000000157
0754811X,48.8453901,2.328061400000024
0754815B,48.828176,2.3285578999999643
0754816C,48.8250298,2.351479299999937
0754850P,48.870458,2.4034802999999556
0754926X,48.8684628,2.2890796000000364
0754927Y,48.8459338,2.3241321000000426
0754951Z,48.8642592,2.3807038999999577
0754955D,48.8862682,2.2871201000000383
0754956E,48.8501446,2.662623499999995
0754969U,48.8376268,2.3549803999999313
0754989R,48.8218361,2.3595893000000387
0755088Y,48.84555719999999,2.3316145000000006
0755111Y,48.89702980000001,2.320582599999966
0755112Z,48.8865408,2.3568000999999867
0755197S,48.8587662,2.3474433999999746
0755221T,48.858712,2.380233800000042
0755229B,48.8354338,2.3015821000000187
0755344B,48.8424018,2.3176581999999826
0755432X,48.8672897,2.3743937000000415
0755450S,48.8379228,2.352545999999961
0771654E,48.5619052,3.013791900000001
0771771G,48.82411099999999,3.093208000000004
0771817G,48.812968,3.1499750000000404
0772241T,48.811274,2.6139029999999366
0772311U,48.82411099999999,3.093208000000004
0772319C,49.0220804,3.0399575999999797
0772447S,48.83603040000001,2.5930243000000246
0772468P,48.8362276,2.5907763999999815
0772587U,48.601612,2.5820449999999937
0772690F,48.5261419,2.652214200000003
0772711D,48.8237939,2.6336919000000307
0772715H,48.5324938,2.6894093999999313
0772742M,48.8097751,2.6141063999999687
0780293V,48.9467636,2.0634368999999424
0780424M,48.8134333,2.1387823000000026
0780762E,48.77030740000001,1.8784756000000016
0780819S,48.7663503,2.000136999999995
0780851B,48.758245,2.144912999999974
0781203J,48.77030740000001,1.8784756000000016
0781809T,48.7745711,2.0163115999999945
0781897N,48.9703049,1.8452766999999994
0781981E,48.89562050000001,2.0707082999999784
0782058N,48.6392801,1.8294416999999612
0782090Y,48.8168616,2.141513199999963
0782092A,48.9277328,2.036086800000021
0782110V,48.9146894,2.085440800000015
0782120F,48.6571208,1.8468104999999468
0783214V,48.8413881,2.118512600000031
0783366K,48.77030740000001,1.8784756000000016
0783430E,48.90338939999999,2.299983300000008
0783560W,48.7792422,2.044623099999967
0783593G,48.7874797,2.050659499999938
0783606W,48.8042676,2.131474400000002
0783607X,48.982369,1.92331200000001
0911333E,48.6088472,2.3166274000000158
0912003H,48.7227576,2.285380000000032
0912098L,48.3982307,2.144411900000023
0912119J,48.6248537,2.430148899999949
0912127T,48.7300171,2.248375699999997
0912140G,48.7082286,2.2968081999999868
0912267V,48.62322349999999,2.4547599999999647
0912268W,48.713226,2.1840290000000095
0921379Z,48.857659,2.184594000000061
0921667M,48.9283723,2.328726299999971
0922274X,48.9074748,2.3180369000000383
0922275Y,48.8900521,2.1987183999999615
0922292S,48.8902876,2.2308660999999574
0922377J,48.8265532,2.2772273000000496
0922379L,48.8827901,2.247596499999986
0922384S,48.89591129999999,2.2359735999999657
0922387V,48.8780133,2.171737300000018
0922451P,48.9034296,2.1928634999999304
0922454T,48.9034296,2.1928634999999304
0922585K,48.8820425,2.2437175000000025
0922586L,48.8820425,2.2437175000000025
0922594V,48.770444,2.317012200000022
0922607J,48.9114063,2.2893046000000368
0922627F,48.82259639999999,2.2594437999999855
0922628G,48.8353116,2.2451816000000235
0922650F,48.88736720000001,2.2376268000000437
0922653J,48.8268159,2.275118099999986
0922661T,48.8899566,2.2824282999999923
0922673F,48.89133409999999,2.284201899999971
0922675H,48.8799399,2.277805599999965
0931618D,48.9164748,2.411589999999933
0931815T,48.83013949999999,2.581269499999962
0932217E,48.961029,2.5523470000000543
0932230U,48.9425561,2.3531970999999885
0932305A,48.8620118,2.4155345000000352
0932309E,48.8380235,2.5834608999999773
0932330C,48.8570874,2.4372461000000385
0932331D,48.86137249999999,2.416825700000004
